date,temperature,humidity,wind_speed,pressure,cloud_cover,precipitation,temperature_min,temperature_max,temp_range,temp_hourly_std,hdh_18c,hdh_15c,hours_below_0c,wind_chill_mean,wind_chill_min
2025-05-20 07:00:00,12.799999999999999,74.58333333333333,18.2375,1007.6708333333332,5.083333333333333,6.6,9.0,17.2,8.2,2.905616749616537,124.80000000000001,63.0,0,10.97625,7.45
2025-05-21 07:00:00,16.129166666666666,68.16666666666667,15.508333333333333,1014.9541666666668,2.875,0.0,11.0,20.7,9.7,3.4811890980284135,63.4,23.1,0,14.578333333333333,9.76
2025-05-22 07:00:00,17.479166666666668,61.458333333333336,13.016666666666666,1017.1208333333334,0.08333333333333333,0.0,11.7,22.8,11.100000000000001,4.068540937771036,49.800000000000004,18.0,0,16.1775,10.69
2025-05-23 07:00:00,19.724999999999998,51.833333333333336,13.8375,1014.5875,2.375,0.0,14.8,25.1,10.3,3.940453516163271,22.4,0.1999999999999993,0,18.34125,13.65
2025-05-24 07:00:00,21.962500000000002,47.958333333333336,14.9,1013.4916666666667,4.416666666666667,0.0,16.6,27.7,11.099999999999998,4.225369806300981,5.100000000000001,0.0,0,20.4725,15.23
2025-05-25 07:00:00,23.883333333333336,47.25,21.77916666666667,1012.85,7.083333333333333,0.0,19.1,28.9,9.799999999999997,3.2890684113427566,0.0,0.0,0,21.705416666666665,17.59
2025-05-26 07:00:00,24.537499999999998,35.083333333333336,25.704166666666666,1011.2583333333333,7.625,0.0,20.8,29.2,8.399999999999999,3.2179945821015283,0.0,0.0,0,21.967083333333335,18.5
2025-05-27 07:00:00,20.554166666666667,64.70833333333333,19.604166666666668,1009.2833333333333,7.75,5.3999999999999995,16.6,25.9,9.299999999999997,3.186108320802049,7.199999999999999,0.0,0,18.59375,14.660000000000002
2025-05-28 07:00:00,17.329166666666666,82.79166666666667,11.995833333333332,1009.5083333333333,4.791666666666667,2.3,12.4,20.9,8.499999999999998,2.658616699267345,34.0,8.9,0,16.129583333333333,12.040000000000001
2025-05-29 07:00:00,18.979166666666668,66.41666666666667,10.154166666666667,1008.8000000000001,4.458333333333333,0.0,13.5,23.7,10.2,3.542043032005638,26.299999999999997,4.0,0,17.96375,12.92
2025-05-30 07:00:00,20.25,64.20833333333333,8.208333333333334,1010.1708333333332,5.0,2.0,15.5,24.3,8.8,3.336751870229228,14.299999999999997,0.0,0,19.429166666666667,14.24
2025-05-31 07:00:00,19.333333333333332,75.20833333333333,11.191666666666668,1012.8208333333333,5.5,9.0,15.1,24.4,9.299999999999999,2.906464558855666,15.699999999999998,0.0,0,18.214166666666667,13.95
2025-06-01 07:00:00,20.962500000000002,60.416666666666664,12.333333333333334,1015.0875,1.7916666666666667,0.0,15.6,26.4,10.799999999999999,3.9002577952701065,10.799999999999997,0.0,0,19.729166666666668,14.41
2025-06-02 07:00:00,22.53333333333333,50.791666666666664,8.483333333333333,1016.4250000000001,2.1666666666666665,0.0,16.9,28.2,11.3,4.150920973414962,1.6999999999999993,0.0,0,21.685000000000002,16.5
2025-06-03 07:00:00,25.166666666666668,46.541666666666664,13.25,1014.8041666666667,2.9583333333333335,0.0,19.1,30.3,11.2,3.9896242240686477,0.0,0.0,0,23.84166666666667,17.55
2025-06-04 07:00:00,22.566666666666666,55.583333333333336,15.883333333333333,1015.9291666666667,2.1666666666666665,0.9999999999999999,15.2,28.6,13.400000000000002,4.474533414263694,9.300000000000002,0.0,0,20.97833333333333,14.52
2025-06-05 07:00:00,20.979166666666668,45.708333333333336,8.762500000000001,1020.5583333333334,0.0,0.0,15.0,26.4,11.399999999999999,4.170390365073928,13.799999999999999,0.0,0,20.10291666666667,14.24
2025-06-06 07:00:00,24.266666666666666,41.833333333333336,11.879166666666668,1019.2583333333333,1.0833333333333333,0.0,18.7,29.2,10.5,3.802020820411243,0.0,0.0,0,23.07875,17.689999999999998
2025-06-07 07:00:00,26.4875,37.833333333333336,10.595833333333333,1018.0791666666668,0.9583333333333334,0.0,19.0,32.5,13.5,4.786876307427287,0.0,0.0,0,25.427916666666665,18.24
2025-06-08 07:00:00,27.445833333333336,35.708333333333336,9.737499999999999,1015.2666666666668,0.0,0.0,19.5,33.4,13.899999999999999,4.851174592563766,0.0,0.0,0,26.472083333333334,18.74
2025-06-09 07:00:00,28.895833333333332,35.708333333333336,15.866666666666667,1014.2624999999999,0.875,0.0,21.0,34.6,13.600000000000001,4.908597529859719,0.0,0.0,0,27.30916666666667,18.439999999999998
2025-06-10 07:00:00,22.329166666666666,40.5,17.5625,1017.5208333333334,0.5,0.0,15.5,27.2,11.7,3.9240040737764903,6.800000000000001,0.0,0,20.572916666666668,14.46
